,id,user,comment,likes,total,rate,versionCode,date,reply,likedByMe,accountID,badgeIconURL,avatarURL,userRepliesCount,userRepliesAvatarUrls,fromDeveloper,reviewAuditState,isEdited
0,156827998,سوده,به شعور مخاطب که نباید توهین کنن... میخواین فروشتون بیشتر بشه چرا بی قانونی میکنید؟ لااقل دو تا از کتابای نرم افزار خودتون رو میخوندین تا یکم فرهنگ اجتماعی یاد میگرفتید,1000,1077,1,930,2023/07/26,,0,3cdc4434-973d-482e-9583-a0e54c8c0f03,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,4,"['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png']",False,0,False
1,156889887,farzane,حذف برنامه بعلت عدم رعایت قانون کشور .,914,984,1,930,2023/07/27,,0,a5f5a080-4026-4eb4-ae11-4142fab11d04,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,2,"['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://35863b3675871c5199d58bc2f1d8fe54.cdn.cafebazaar.cloud/user-avatars/ada9676e-c46e-4050-a9d4-ec4a21c056b1-1679679104897090794.png']",False,0,False
2,156857886,peyman,بازار لطفا این پلتفرم خارج کنه این کشور قانون داره,1066,1149,1,930,2023/07/26,,0,f5ca0dac-d4a6-4f1e-9c56-f43e7c761736,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,3,"['https://35863b3675871c5199d58bc2f1d8fe54.cdn.cafebazaar.cloud/user-avatars/42b36922-367f-49ed-b031-2220e47bc233-1678304163218599396.png', 'https://35863b3675871c5199d58bc2f1d8fe54.cdn.cafebazaar.cloud/user-avatars/6547cc47-471a-4d8b-9a61-b83a06176370-1688305673984483980.png', 'https://35863b3675871c5199d58bc2f1d8fe54.cdn.cafebazaar.cloud/user-avatars/ada9676e-c46e-4050-a9d4-ec4a21c056b1-1679679104897090794.png']",False,0,False
3,156837620,علیرضا,به معنای واقعی کلمه بدترین برنامه ممکن,1222,1318,1,930,2023/07/26,,0,ebea1c9b-05fb-493e-a4ba-4ed06cc52882,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,0,[],False,0,False
4,156814665,محبوب,من تازه اشتراک سه ماهه طاقچه رو خریدم ولی با دیدن عمل زشت کارکنان طاقچه و بی اعتنایی به قانون قصد استفاده از این برنامه رو ندارم,1757,1898,1,930,2023/07/25,,0,e2aed700-9041-4f03-9aae-6fb737fa50cf,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,7,"['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/user-avatars/4f3f6ed6-54d0-41d1-8597-8b2e465fb62f-1691515996052078264.png']",False,0,False
5,156857040,سوده,رعایت نکردن قانون تاوان داره #حذف,1660,1793,1,930,2023/07/26,,0,035bd3bc-d709-40df-acbd-ba1beefed528,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,1,['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png'],False,0,False
6,156808755,یازهراس,من به عنوان یک کاربر از اپلیکیشن طاقچه شکایت دارم. در قوانین این اپلیکیشن اومده که به قوانین جمهوری اسلامی ایران پایبنده و حالا با نقض این مورد قرارداد با ما رو بهم زده و من قصد ترک طاقچه رو دارم و تقاضا دارم قوه قضاییه پیگیری کنه تا هزینه‌ی اشتراک و کتاب‌هایی که از سال‌ها پیش خریداری کردیم و حالا ب,2928,3169,1,930,2023/07/25,,0,92a3e930-8683-41da-ac15-39096c07a805,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,17,"['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png']",False,0,False
7,156800220,Unnamed User,عدم رعایت اصول اخلاقی پای‌بند نبودن به قوانین و حریم شخصی,2753,2979,1,930,2023/07/25,,0,8146bd84-ef2c-4bb2-b3f3-3ae2a75ad14c,https://cdn.account.cafebazaar.ir/badges/v2/Update-Small@Gold@XHDPI.png,https://cdn.account.cafebazaar.ir/avatars/ic_penguin_144dp.png,3,"['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://35863b3675871c5199d58bc2f1d8fe54.cdn.cafebazaar.cloud/user-avatars/2448e8c7-262d-4ffd-8de6-831aa32c6d05-1664593683005773827.png']",False,0,False
8,156889505,ط,خداوند ، در همه ادیان امر به حجاب کرده است ، و چون شما قانون خداوند رو رعایت نکردید ، حذفتون میکنم,1859,2009,1,930,2023/07/27,,0,30b94eed-54bb-4a03-8ca9-f7c37e452a29,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,4,"['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png']",False,0,False
9,132007260,Unnamed User,نمک خوردن و نمکدون شکستن این روزا مد شده انگار... تو جمهوری اسلامی و زیر سایه‌ی امنیت هزاران شهید دارید فعالیت می‌کنید اونوقت با عکس‌های بی‌حجاب به ملت و کاربران دهن‌کجی می‌کنید. شما قانون رسمی کشور رو زیر پا گذاشتید. بدبخت فضای فرهنگی کشور که شما یکی از متولیان اون هستید.,2505,2710,1,930,2022/03/17,,0,186e2f42-d6b8-4e56-a0f6-b30d73bc5986,,https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png,2,"['https://cdn.account.cafebazaar.ir/avatars/Profile@XXXHDPI.png', 'https://cdn.account.cafebazaar.ir/user-avatars/4514cec9-8101-460b-baec-476e9bc8ebce-1689768918649007266.png']",False,0,False
